Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,2,22pF,
"D1, D2, D3, D4, D5, D6, D7, D8",LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm,8,LED,
ISP,PinHeader_2x03_P2.54mm_Vertical,1,ISP,
J2,PinHeader_1x06_P2.54mm_Vertical,1,H1,
J3,USB_B_OST_USB-B1HSxx_Horizontal,1,USB_B,
J4,PinHeader_1x09_P2.54mm_Vertical,1,H2-PWR,
"R1, R2, R3, R4, R5, R6, R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,8,220R,
R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1K R,
RESET,SW_PUSH_6mm_H13mm,1,SW_Push,
U1,zif-28-pin,1,ATmega168PA-P,
Y1,Crystal_HC49-4H_Vertical,1,16MHz,
